codigo,nombre,descripcion
G1,Acción,"Películas o series con secuencias dinámicas de stunts, peleas y persecuciones."
G2,Drama,"Historias centradas en el desarrollo emocional y relaciones de los personajes."
G3,Terror,"Obras que buscan generar miedo o tensión mediante elementos sobrenaturales o psicológicos."
G4,Comedia,"Contenidos cuyo objetivo principal es provocar risa y entretenimiento ligero."
G5,Ciencia Ficción,"Historias basadas en avances tecnológicos, espacio o fenómenos científicos imaginarios."
G6,Romance,"Narraciones centradas en historias de amor y relaciones románticas."
G7,Aventura,"Obras que siguen viajes épicos o misiones con desafíos físicos y exploración."
G8,Documental,"Producciones no ficcionales que exploran temas reales con testimonios y material de archivo."
G9,Animación,"Contenidos creados mediante dibujos, CGI o técnicas de animación."
G10,Fantasía,"Historias ambientadas en mundos imaginarios con magia o criaturas míticas."
G11,Suspenso,"Obras que mantienen la tensión y el misterio hasta revelar la resolución."
G12,Musical,"Producciones en las que los personajes expresan la trama a través de canciones y bailes."
G13,Histórico,"Narraciones ambientadas en eventos o épocas pasadas, a menudo con base documental."
G14,Biográfico,"Obras que relatan la vida de personas reales, destacando sus logros y conflictos."
G15,Western,"Historias ambientadas en el Viejo Oeste, con vaqueros, duelos y paisajes áridos."
